"x"
"MAPK4"
"PLK2"
"CDH13"
"CEACAM3"
"PTPRA"
"CGAS"
"PTPRD"
"MIPEP"
"NEK6"
"ITPR1"
"PPIA"
"MMP26"
"ASIC2"
"CLSTN2"
"DPYD"
"PTPRJ"
"TNK2"
"CDK19"
"DERA"
"BCL2"
"KDSR"
"ARSG"
"CAMK1D"
"CPNE4"
"TFRC"
"CHD7"
"KCNJ2"
"PRMT3"
"PDHB"
"USP35"
"NFATC1"
"KSR2"
"SLC9A6"
"EXT1"
"PNPT1"
"HS6ST1"
"CAPN13"
"DOCK1"
"CYSLTR1"
"STS"
"SOS2"
"PHF8"
"CACNA2D3"
"ANXA2"
"TAF1"
"EGLN3"
"PCDH9"
"CACNA2D1"
"PROS1"
"COL13A1"
"ACAP2"
"PLCB1"
"STK10"
"MYRIP"
"RAD18"
"FKBP1A"
"PDE11A"
"ATP6V0D2"
"TK2"
"AIFM3"
"MCTP1"
"NTRK2"
"BHLHE40"
"DAGLA"
"ERN2"
"HS3ST2"
"WNK1"
"PIK3CB"
"ASRGL1"
"CSNK2A1"
"PLA2G4E"
"PAK5"
"HSD17B3"
"CHST3"
"PKM"
"TNFSF11"
"LILRB4"
"TRPM6"
"TRPC3"
"PRKCI"
"GNG7"
"CLYBL"
"CAMKMT"
"CARM1"
"PDHA1"
"TNIK"
"GPAM"
"MYO9B"
"YWHAG"
"CPM"
"XXYLT1"
"CADPS2"
"ANO5"
"BDH1"
"TRPM3"
"EYA4"
"FOXK2"
"CHN2"
"KALRN"
"PTPRC"
"CLDN1"
"SLC27A6"
"AGMO"
"PTPRS"
"FHIT"
"DNM2"
"SLC30A10"
"SLC34A1"
"SLC7A9"
"NAT2"
"PSD3"
"AGXT2"
"SLC6A20"
