"Name","UniProt ID","Primary Gene Name","Type","Primary metCode"
"Neuropathy target esterase","Q8IY17","PNPLA6","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Phosphatidylcholine-sterol acyltransferase","P04180","LCAT","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0010395	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0010379	 HMDB0010382"
"Phosphatidylcholine transfer protein","Q9UKL6","PCTP","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Phosphatidylcholine:ceramide cholinephosphotransferase 1","Q86VZ5","SGMS1","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Phosphatidylcholine:ceramide cholinephosphotransferase 2","Q8NHU3","SGMS2","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Phosphatidylethanolamine-binding protein 1","P30086","PEBP1","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phosphatidylethanolamine-binding protein 4","Q96S96","PEBP4","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phosphatidylethanolamine N-methyltransferase","Q9UBM1","PEMT","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phosphatidylinositol transfer protein alpha isoform","Q00169","PITPNA","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Phosphatidylinositol transfer protein beta isoform","P48739","PITPNB","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Phosphatidylserine decarboxylase proenzyme","Q9UG56","PISD","Enzyme","HMDB0008994	 HMDB0009003"
"Phosphatidylserine synthase 1","P48651","PTDSS1","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Phospholipase A2","P04054","PLA2G1B","Unknown","HMDB0007982	 HMDB0008048	 HMDB0010395	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0010379	 HMDB0009003	 HMDB0010382"
"Phospholipase A2, membrane associated","P14555","PLA2G2A","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Phospholipase B1, membrane-associated","Q6P1J6","PLB1","Unknown","HMDB0007982	 HMDB0008048	 HMDB0010395	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0010379	 HMDB0010382"
"Phospholipase D1","Q13393","PLD1","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phospholipase D2","O14939","PLD2","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phospholipase D3","Q8IV08","PLD3","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phospholipase D4","Q96BZ4","PLD4","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phospholipase D6","Q8N2A8","PLD6","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Phospholipid scramblase 1","O15162","PLSCR1","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phospholipid scramblase 2","Q9NRY7","PLSCR2","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phospholipid scramblase 3","Q9NRY6","PLSCR3","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phospholipid scramblase 4","Q9NRQ2","PLSCR4","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phospholipid scramblase family member 5","A0PG75","PLSCR5","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Phospholipid transfer protein","P55058","PLTP","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Platelet-activating factor acetylhydrolase","Q13093","PLA2G7","Enzyme","HMDB0010395	 HMDB0010379	 HMDB0010382"
"Platelet-activating factor acetylhydrolase 2, cytoplasmic","Q99487","PAFAH2","Enzyme","HMDB0010395	 HMDB0010379	 HMDB0010382"
"Platelet-activating factor acetylhydrolase IB subunit beta","P68402","PAFAH1B2","Enzyme","HMDB0010395	 HMDB0010379	 HMDB0010382"
"Platelet-activating factor acetylhydrolase IB subunit gamma","Q15102","PAFAH1B3","Enzyme","HMDB0010395	 HMDB0010379	 HMDB0010382"
"Probable phospholipid-transporting ATPase IA","Q9Y2Q0","ATP8A1","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase IB","Q9NTI2","ATP8A2","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase IC","O43520","ATP8B1","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase ID","P98198","ATP8B2","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase IF","Q9Y2G3","ATP11B","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase IG","Q8NB49","ATP11C","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase IH","P98196","ATP11A","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase IIA","O75110","ATP9A","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase IK","O60423","ATP8B3","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase IM","Q8TF62","ATP8B4","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase VA","O60312","ATP10A","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase VB","O94823","ATP10B","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Probable phospholipid-transporting ATPase VD","Q9P241","ATP10D","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0009003"
"Putative inactive group IIC secretory phospholipase A2","Q5R387","PLA2G2C","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Uteroglobin","P11684","SCGB1A1","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
